Scenario,Epochs,MSE_V,MSE_N,Total_MSE,RMSE_V,RMSE_N,RMSPE_V,RMSPE_N,MAPE_V,MAPE_N,MAE_V,MAE_N,R2_V,R2_N,MAXERR_V,MAXERR_N,Training_Time_Sec,FLOPs,Params
hopf,1000,465.6213309449999,0.023032488563622708,465.6443634335635,21.57826060981283,0.15176458270499973,48580439.41995296,544101.5585198206,88695577.18020838,993439.7765613343,16.26030782532898,0.09816746401060925,0.2999641887956993,-0.21049545915084034,56.59845362634237,0.37096584552581047,6.890069124987349,33152.0,33538.0
hopf,2000,366.2265553976915,0.016192737693042556,366.24274813538455,19.137046673865107,0.12725068837944475,7750846.822631726,490921.7030836127,14151248.974231746,896333.4633528042,12.922200466161101,0.07692307424181276,0.4493987136026144,0.14897448469347474,57.480030155993006,0.374545741768335,15.13430237499415,33152.0,33538.0
hopf,5000,34.77025609515819,0.0032783220168780504,34.773534417175064,5.8966309105419,0.057256632950934604,1315803.715974932,23469.627382646075,2402399.5073421253,42864.15336532401,3.744261503638724,0.03157051832122571,0.9477248510459018,0.8277045094756826,17.44107098617721,0.23069609595814583,36.43069820801611,33152.0,33538.0
hopf,10000,7.201715324091871,0.0004336201811925084,7.2021489442730635,2.683601185737529,0.020823548717557927,386620.3191497503,18474.354519193406,705903.822562011,33737.23693528373,1.6159378646063882,0.013928948394268559,0.9891726209820946,0.9772106579417253,9.833954444514912,0.07959325414178262,73.6882023329963,33152.0,33538.0
hopf,20000,0.3057236187249073,4.814082576899542e-05,0.30577175955067626,0.5529227963512694,0.006938359011250097,132527.32490733307,26140.1125076678,241962.69257297026,47727.39147681522,0.2712793841664193,0.004256303657190942,0.9995403615186529,0.9974699107813656,3.30289241535295,0.03576144734217862,145.74372833399684,33152.0,33538.0
snlc,1000,217.78799887012775,0.00839401870514768,217.7963928888329,14.757642049803476,0.09161887744972473,450936.76330101787,15012.646978072542,823407.160523098,27580.982408950884,8.914931476514386,0.04245108915246911,0.40470658918478986,0.355468446032986,55.64602051654934,0.3968819376734799,8.091018165985588,33152.0,33538.0
snlc,2000,123.55335253325597,0.007036604310274053,123.56038913756625,11.115455570207457,0.08388447001843698,2893655.528065028,117953.7352402536,5283144.838832234,215580.79309979445,6.967260709684822,0.047357688354596444,0.6622839778649329,0.4596969973428082,45.25414117932564,0.3307959219497832,15.283939375018235,33152.0,33538.0
snlc,5000,1.6017385048928634,0.0004896393411925304,1.602228144234056,1.265598081893641,0.022127795669531353,620935.4957888013,34472.29559091048,1133676.7031514887,62993.93032506945,0.4371127724881309,0.009923694405377692,0.9956218690526638,0.9624032282333764,10.692953424454831,0.1796660873417265,37.686373333010124,33152.0,33538.0
snlc,10000,2.2058082880318497,0.0005016841845483144,2.206309972216398,1.485196380291795,0.022398307626879187,171171.73298960103,26752.64485747511,312527.24782038806,48876.481115145914,0.5697560665423893,0.008181737417045436,0.9939707277434972,0.9614783694883474,10.935287790299558,0.16737669737380811,76.20877262498834,33152.0,33538.0
snlc,20000,2.1000273678614905,0.0002666211519437974,2.1002939890134344,1.4491471173975023,0.016328537960999367,313824.4111336813,9442.450026992963,572976.0685903105,17269.347855412052,0.5250402976774825,0.0060234866071754295,0.9942598652767591,0.9795275956107382,12.022537109132227,0.12476362148145254,162.77194816700649,33152.0,33538.0
homoclinic,1000,13.215839297015819,0.0023375184600732523,13.218176815475893,3.635359582904533,0.048347889923690074,17698712.420815468,363072.14891613583,32313362.091086164,662893.2005286443,2.080138438528796,0.027915434699976455,0.5072280173889795,0.4525639946667597,16.87145509482515,0.20393684942614146,8.152424833009718,33152.0,33538.0
homoclinic,2000,11.766599291641757,0.002518368894391752,11.76911766053615,3.4302477012078527,0.05018335276156578,2100003.3434491265,329090.49405843794,3834142.8605601825,600851.6902522361,2.1669236109714958,0.03531129283788085,0.5612650599617232,0.410209659923667,14.528362444650057,0.18118572139536043,14.604361667006742,33152.0,33538.0
homoclinic,5000,5.8260373550429785,0.0010064420992665355,5.827043797142245,2.413718574118155,0.03172447161524578,324395.58376026637,82652.53714541299,592331.4963686228,150909.5132719861,1.3370220599245175,0.018488625275435235,0.782767638612354,0.7642959181574092,9.544770008497828,0.12466246426381608,38.4342293330119,33152.0,33538.0
homoclinic,10000,2.2688055553916326,0.0004432798847231066,2.269248835276356,1.5062554748088495,0.02105421299225185,466855.67292360053,72103.1494758569,852403.1364573563,131646.45355756496,0.8589476823236823,0.012722743225733486,0.9154042519311141,0.8961859024934536,6.9316251865205185,0.08691193706185374,76.3203322920017,33152.0,33538.0
homoclinic,20000,0.46672706308874423,8.257747425193738e-05,0.4668096405629962,0.6831742552883153,0.009087214878714896,41741.24351644936,19876.65396626405,76218.94156198729,36291.640524611816,0.40375310444014256,0.005798359895426834,0.9825973958181837,0.9806607376980576,2.9323099757578115,0.035128794836889965,146.9393073329993,33152.0,33538.0
